in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 00
in_add_a = 3, in_add_b = 3, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 57
in_add_a = 3, in_add_b = 3, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 75
in_add_a = 0, in_add_b = 0, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = e2
in_add_a = 0, in_add_b = 0, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 2e
in_add_a = 1, in_add_b = 0, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = f3
in_add_a = 1, in_add_b = 0, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 3f
in_add_a = 2, in_add_b = 0, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 2, in_add_b = 0, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 3, in_add_b = 0, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 3, in_add_b = 0, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 0, in_add_b = 1, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = f3
in_add_a = 0, in_add_b = 1, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 3f
in_add_a = 1, in_add_b = 1, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 1, in_add_b = 1, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 2, in_add_b = 1, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 2, in_add_b = 1, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 3, in_add_b = 1, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 3, in_add_b = 1, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 0, in_add_b = 2, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 0, in_add_b = 2, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 1, in_add_b = 2, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 1, in_add_b = 2, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 2, in_add_b = 2, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 2, in_add_b = 2, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 3, in_add_b = 2, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 37
in_add_a = 3, in_add_b = 2, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 73
in_add_a = 0, in_add_b = 3, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 0, in_add_b = 3, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 1, in_add_b = 3, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 1, in_add_b = 3, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 2, in_add_b = 3, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 37
in_add_a = 2, in_add_b = 3, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 73
in_add_a = 3, in_add_b = 3, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 48
in_add_a = 3, in_add_b = 3, in_add_c = 2, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 84
in_add_a = 0, in_add_b = 0, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = d3
in_add_a = 0, in_add_b = 0, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 3d
in_add_a = 1, in_add_b = 0, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = e4
in_add_a = 1, in_add_b = 0, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 4e
in_add_a = 2, in_add_b = 0, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 2, in_add_b = 0, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 3, in_add_b = 0, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 3, in_add_b = 0, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 0, in_add_b = 1, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = e4
in_add_a = 0, in_add_b = 1, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 4e
in_add_a = 1, in_add_b = 1, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 1, in_add_b = 1, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 2, in_add_b = 1, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 2, in_add_b = 1, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 3, in_add_b = 1, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 3, in_add_b = 1, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 0, in_add_b = 2, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 0, in_add_b = 2, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 1, in_add_b = 2, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 1, in_add_b = 2, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 2, in_add_b = 2, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 2, in_add_b = 2, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 3, in_add_b = 2, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 28
in_add_a = 3, in_add_b = 2, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 82
in_add_a = 0, in_add_b = 3, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 0, in_add_b = 3, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 1, in_add_b = 3, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 1, in_add_b = 3, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 2, in_add_b = 3, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 28
in_add_a = 2, in_add_b = 3, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 82
in_add_a = 3, in_add_b = 3, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 39
in_add_a = 3, in_add_b = 3, in_add_c = 3, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 93
in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f1
in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 1f
in_add_a = 1, in_add_b = 0, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 02
in_add_a = 1, in_add_b = 0, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 20
in_add_a = 2, in_add_b = 0, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 13
in_add_a = 2, in_add_b = 0, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 31
in_add_a = 3, in_add_b = 0, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 24
in_add_a = 3, in_add_b = 0, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 42
in_add_a = 0, in_add_b = 1, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 02
in_add_a = 0, in_add_b = 1, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 20
in_add_a = 1, in_add_b = 1, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 13
in_add_a = 1, in_add_b = 1, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 31
in_add_a = 2, in_add_b = 1, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 24
in_add_a = 2, in_add_b = 1, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 42
in_add_a = 3, in_add_b = 1, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 35
in_add_a = 3, in_add_b = 1, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 53
in_add_a = 0, in_add_b = 2, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 13
in_add_a = 0, in_add_b = 2, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 31
in_add_a = 1, in_add_b = 2, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 24
in_add_a = 1, in_add_b = 2, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 42
in_add_a = 2, in_add_b = 2, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 35
in_add_a = 2, in_add_b = 2, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 53
in_add_a = 3, in_add_b = 2, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 46
in_add_a = 3, in_add_b = 2, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 64
in_add_a = 0, in_add_b = 3, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 24
in_add_a = 0, in_add_b = 3, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 42
in_add_a = 1, in_add_b = 3, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 35
in_add_a = 1, in_add_b = 3, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 53
in_add_a = 2, in_add_b = 3, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 46
in_add_a = 2, in_add_b = 3, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 64
in_add_a = 3, in_add_b = 3, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 57
in_add_a = 3, in_add_b = 3, in_add_c = 0, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 75
in_add_a = 0, in_add_b = 0, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = e2
in_add_a = 0, in_add_b = 0, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 2e
in_add_a = 1, in_add_b = 0, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f3
in_add_a = 1, in_add_b = 0, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 3f
in_add_a = 2, in_add_b = 0, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 2, in_add_b = 0, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 3, in_add_b = 0, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 3, in_add_b = 0, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 0, in_add_b = 1, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f3
in_add_a = 0, in_add_b = 1, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 3f
in_add_a = 1, in_add_b = 1, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 1, in_add_b = 1, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 2, in_add_b = 1, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 2, in_add_b = 1, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 3, in_add_b = 1, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 3, in_add_b = 1, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 0, in_add_b = 2, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 04
in_add_a = 0, in_add_b = 2, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 40
in_add_a = 1, in_add_b = 2, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 1, in_add_b = 2, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 2, in_add_b = 2, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 2, in_add_b = 2, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 3, in_add_b = 2, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 37
in_add_a = 3, in_add_b = 2, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 73
in_add_a = 0, in_add_b = 3, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 15
in_add_a = 0, in_add_b = 3, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 51
in_add_a = 1, in_add_b = 3, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 26
in_add_a = 1, in_add_b = 3, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 62
in_add_a = 2, in_add_b = 3, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 37
in_add_a = 2, in_add_b = 3, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 73
in_add_a = 3, in_add_b = 3, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 48
in_add_a = 3, in_add_b = 3, in_add_c = 1, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 84
in_add_a = 0, in_add_b = 0, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = d3
in_add_a = 0, in_add_b = 0, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 3d
in_add_a = 1, in_add_b = 0, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = e4
in_add_a = 1, in_add_b = 0, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 4e
in_add_a = 2, in_add_b = 0, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 2, in_add_b = 0, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 3, in_add_b = 0, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 3, in_add_b = 0, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 0, in_add_b = 1, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = e4
in_add_a = 0, in_add_b = 1, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 4e
in_add_a = 1, in_add_b = 1, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 1, in_add_b = 1, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 2, in_add_b = 1, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 2, in_add_b = 1, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 3, in_add_b = 1, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 3, in_add_b = 1, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 0, in_add_b = 2, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f5
in_add_a = 0, in_add_b = 2, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 5f
in_add_a = 1, in_add_b = 2, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 1, in_add_b = 2, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 2, in_add_b = 2, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 2, in_add_b = 2, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 3, in_add_b = 2, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 28
in_add_a = 3, in_add_b = 2, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 82
in_add_a = 0, in_add_b = 3, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 06
in_add_a = 0, in_add_b = 3, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 60
in_add_a = 1, in_add_b = 3, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 17
in_add_a = 1, in_add_b = 3, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 71
in_add_a = 2, in_add_b = 3, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 28
in_add_a = 2, in_add_b = 3, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 82
in_add_a = 3, in_add_b = 3, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = 39
in_add_a = 3, in_add_b = 3, in_add_c = 2, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 93
in_add_a = 0, in_add_b = 0, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = c4
in_add_a = 0, in_add_b = 0, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 4c
in_add_a = 1, in_add_b = 0, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = d5
in_add_a = 1, in_add_b = 0, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 5d
in_add_a = 2, in_add_b = 0, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 2, in_add_b = 0, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 6e
in_add_a = 3, in_add_b = 0, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = f7
in_add_a = 3, in_add_b = 0, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 7f
in_add_a = 0, in_add_b = 1, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = d5
in_add_a = 0, in_add_b = 1, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 5d
in_add_a = 1, in_add_b = 1, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 0, final_cal_out = e6
in_add_a = 1, in_add_b = 1, in_add_c = 3, in_add_d = 1, in_add_sub_sel = 1, final_cal_out = 6e
